Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
6355,0,0,0,-17633,1
6365,0,0,0,-16074,1
6375,0,0,0,-14452,1
6385,0,0,0,-12773,1
6395,0,0,0,-11043,1
6405,0,0,0,-9270,1
6415,0,0,0,-7460,1
6425,0,0,0,-5621,1
6435,0,0,0,-3759,1
6445,0,0,0,-1883,1
6455,0,0,0,0,1
6465,0,0,0,0,1
6475,0,0,0,0,1
6485,0,0,0,0,1
6495,0,0,0,0,1
6505,0,0,0,0,1
6515,0,0,0,0,1
6525,0,0,0,0,1
6535,0,0,0,0,1
6545,0,0,0,0,1
6555,0,0,0,0,1
6565,0,0,0,0,1
6575,0,0,0,0,1
6585,0,0,0,0,1
6595,0,0,0,0,1
6605,0,0,0,0,1
6615,0,0,0,0,1
6625,0,0,0,0,1
6635,0,0,0,0,1
6645,0,0,0,0,1
6655,0,0,0,0,1
6665,0,0,0,0,1
6675,0,0,0,0,1
6685,0,0,0,0,1
6695,0,0,0,0,1
6705,0,0,0,0,1
6715,0,0,0,0,1
6725,0,0,0,0,1
6735,0,0,0,0,1
6745,0,0,0,0,1
6755,0,0,0,0,1
6765,0,0,0,0,1
6775,0,0,0,0,1
6785,0,0,0,0,1
6795,0,0,0,0,1
6805,0,0,0,0,1
6815,0,0,0,0,1
6825,0,0,0,0,1
6835,0,0,0,0,1
6845,0,0,0,0,1
6855,0,0,0,0,1
6865,0,0,0,0,1
6875,0,0,0,0,1
6885,0,0,0,0,1
6895,0,0,0,0,1
6905,0,0,0,0,1
6915,0,0,0,0,1
6925,0,0,0,0,1
